repo_name,author,language,stars,forks,description,topic
llama.cpp,ggerganov,C++,75000,10800,Port of Meta LLaMA model in C/C++,LLM
ollama,ollama,Go,82000,6500,"Get up and running with Llama 3, Mistral, Gemma 2",LLM
vllm,vllm-project,Python,28000,4200,High-throughput and memory-efficient LLM serving engine,LLM
litellm,BerriAI,Python,14000,1800,Call all LLM APIs using OpenAI format,LLM
text-generation-webui,oobabooga,Python,42000,5500,Gradio web UI for Large Language Models,LLM
gpt4all,nomic-ai,C++,68000,7400,Run powerful LLMs locally on CPU and GPU,LLM
segment-anything,facebookresearch,Python,47000,5800,Segment Anything Model by Meta AI,Computer Vision
ultralytics,ultralytics,Python,36000,7200,Ultralytics YOLO11 for state-of-the-art object detection,Computer Vision
florence-2,microsoft,Python,12000,1400,Florence-2: Advancing a Unified Representation for Vision,Computer Vision
depth-anything,LiheYoung,Python,8500,890,Depth Anything: Unleashing the Power of Monocular Depth Estimation,Computer Vision
stable-diffusion-webui,AUTOMATIC1111,Python,145000,27000,Stable Diffusion web UI,Computer Vision
ComfyUI,comfyanonymous,Python,58000,6200,Powerful and modular stable diffusion GUI,Computer Vision
mlflow,mlflow,Python,18000,3900,Open source platform for the machine learning lifecycle,MLOps
dvc,iterative,Python,13000,1200,ML Experiments Management with Git,MLOps
prefect,PrefectHQ,Python,15000,1500,Workflow orchestration tool empowering data engineers,MLOps
evidently,evidentlyai,Python,5500,890,Evaluate and monitor ML models in production,MLOps
bentoml,bentoml,Python,7200,820,Build Production-Grade AI Applications,MLOps
zenml,zenml-io,Python,3800,420,ZenML: The open-source MLOps framework for reproducible pipelines,MLOps
autogen,microsoft,Python,35000,5100,Framework for multi-agent AI application development,Agents
crewai,crewAIInc,Python,22000,3100,Framework for orchestrating role-playing AI agents,Agents
langchain,langchain-ai,Python,96000,15800,Building applications with LLMs through composability,Agents
smolagents,huggingface,Python,16000,1900,Agents that think in Python and run it to tackle tasks,Agents
swarm,openai,Python,18000,2200,Educational framework for lightweight multi-agent orchestration,Agents
phidata,phidatahq,Python,12000,1400,Build multi-modal Agents with memory knowledge and tools,Agents
polars,pola-rs,Rust,30000,1900,Dataframes powered by multithreaded vectorized query engine,Data Tools
duckdb,duckdb,C++,24000,1800,In-process analytical SQL database management system,Data Tools
great-expectations,great-expectations,Python,9800,1500,Data quality validation for Python workflows,Data Tools
pandas-ai,Sinaptik-AI,Python,13000,1400,Chat with your database using natural language,Data Tools
marimo,marimo-team,Python,8200,320,A reactive Python notebook with no hidden state,Data Tools
lancedb,lancedb,Python,5600,390,Developer-friendly serverless vector database for AI,Data Tools
